canonical_schema,table,table_kind,observation_status,row_estimate_or_count,countries_served,runtime_layer,notes
core,countries,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,exists per migration 20260730172000
core,currencies,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
core,geographies,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,seed migration 20260730180000
core,qualification_frameworks,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
core,qualification_levels,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,institutions,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,campuses,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,institution_identifiers,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programmes,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programme_offerings,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programme_identifiers,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programme_fees,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programme_requirements,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,programme_accreditations,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
catalog,legacy_entity_map,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
taxonomy,occupations,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
taxonomy,occupation_identifiers,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
taxonomy,concept_occupations,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
taxonomy,study_concepts,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
taxonomy,programme_concepts,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,sources,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,source_register_records,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,source_snapshots,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,claims,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,claim_evidence,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,metric_observations,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,review_events,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
evidence,data_source_runs,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
labour,outcome_observations,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,products,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,report_releases,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,report_artifacts,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,report_programmes,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,analysis_runs,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,analysis_inputs,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,analysis_outputs,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,analysis_pathways,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,analysis_scenarios,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,methodology_versions,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,ranking_models,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
reporting,ranking_weights,table,STATIC_ANALYSIS_ONLY,unknown,ALL,REPORT_FACTORY,
